Type,Name,EligibilityUrl,WebsiteUrl,Degree,CourseOffered,MappedSubjects,Eligibility,Remarks
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.Voc.,B.Voc. (Production Technology),"English, Physics, Chemistry, Biology, Mathematics",Senior Secondary School Certificate Examination of this University or an equivalent examination with at least 45% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.Voc.,B.Voc. (Polymer & Coating Technology),"English, Physics, Chemistry, Biology, Mathematics",Senior Secondary School Certificate Examination of this University or an equivalent examination with at least 45% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.Voc.,B.Voc. (Fashion Design & Garment Technology),"English, Mathematics, General Test",Senior Secondary School Certificate Examination of this University or an equivalent examination with at least 45% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.A.,B.A. (Hons.) Sanskrit,"English,  General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from recognized Institution/Madarsa with at least 50% marks in aggregate.    OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.A.,B.A. (Hons.) Persian,"English,  General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate.                                 OR                                Degree/Sanad from recognized Institution/Madarsa with at least 50% marks in aggregate.                 OR                                   Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.A.,B.A. (Hons.) Women Studies,"English,  General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate.                                 OR                                Degree/Sanad from recognized Institution/Madarsa with at least 50% marks in aggregate.                 OR                                   Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.A.,B.A. (Hons.) Hindi,"English,  General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate.                                 OR                                Degree/Sanad from recognized Institution/Madarsa with at least 50% marks in aggregate.                 OR                                   Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AMU,https://www.amu.ac.in,B.Sc.,B.Sc. (Hons.) Home Science,"English, Physics, Chemistry, Biology/Mathematics/Home Science","Senior Secondary School Certificate in Agriculture or in Science (With Physics, Chemistry and Mathematics / Biology / Home Science) or an equivalent examination with 50% marks in aggregate.",
CU,ASSAM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AUS,http://www.aus.ac.in,Integrated Bachelor and Masters in Social Work(BSW + MSW),"BSW + MSW (5 Year Integrated Course in Social Work) 3 year BSW, 2 Year MSW",1. One  Language 2. General Test and 3. Any three domain specific subjects.In Language group English shall be considered as mandatory.,Candidates who have passed HS or equivalent examination (10+2) withat least 55% marks in aggregate are eligible for admission to Five-YearIntegrated Post Graduate Course in Social Work. Relaxation in eligibility is as per GOI rule. Merit of the candidates will be on the basis of NTA score.,
CU,ASSAM UNIVERSITY,https://cuet.samarth.ac.in/index.php/app/info/eligibility?q=AUS,http://www.aus.ac.in,Bachelor in Visual Arts(BVA),BVA (4 Year Under Graduate Course in Visual Arts),1. One Language 2. General Test and 3. Three domain specific subjects of which Fine Arts or Visual Arts shall be considered as mandatory.,Candidates who have passed HS or equivalent examination (10+2) with at least 45%marks in aggregate are eligible for admission in four years BVA course inVisual Arts.. Relaxation in eligibility is as per GOI rule.Merit of the candidates will be on the basis of NTA score.,
