Type,Name,EligibilityUrl,WebsiteUrl,Degree,CourseOffered,MappedSubjects,Eligibility,Remarks
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Voc.",B.Voc. (Production Technology)," English, General Test","Senior Secondary School Certificate Examination with Physics, Chemistry & Mathematics or an equivalent examination with at least 45% marks in aggregate. OR Three year Diploma in Engineering or an equivalent examination with at least 45% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Voc.",B.Voc. (Polymer &amp; Coating Technology)," English, General Test","Senior Secondary School Certificate Examination with Physics, Chemistry & Mathematics/Biology or an equivalent examination with at least 45% marks in aggregate. OR Three year Diploma in Engineering or an equivalent examination with at least 45% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Voc.",B.Voc. (Fashion Design &amp; Garment Technology)," English, General Test",Senior Secondary School Certificate Examination or an equivalent examination with at least 45% marks in aggregate. OR Three year Diploma in Engineering or an equivalent examination with at least 45% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Sanskrit," English, General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Persian," English, General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Women Studies," English, General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Hindi," English, General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Sc.",B.Sc. (Hons.) Community Science," English, Physics, Chemistry, Biology/Mathematics/Home Science","Senior Secondary School Certificate in Agriculture or in Science (With Physics, Chemistry and Mathematics / Biology / Home Science) or an equivalent examination with 50% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Sc.",B.Sc. (Hons.) Statistics," English, Physics, Chemistry, Biology/Mathematics","Senior Secondary School Certificate with English, Physics, Chemistry and Mathematics / Biology/ Geography/ Computer Science or an equivalent examination with at least 50% marks in aggregate.
 
 Note: For admission to B.Sc. (Hons./Research) with Statistics as Major Subject, the candidate should have passed Mathematics at the qualifying examination.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.Sc.",B.Sc. (Hons.) Geography," English, Physics, Chemistry, Biology/Mathematics","Senior Secondary School Certificate with English, Physics, Chemistry and Mathematics / Biology/ Geography/ Computer Science or an equivalent examination with at least 50% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Philosophy," English, General Test","Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. 
 
 OR
 
 Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. 
 
 OR
 
 Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Education," English, General Test","Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. 
 
 OR 
 
 Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. 
 
 OR 
 
 Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Linguistics," English, General Test",Senior Secondary School Certificate Examination or an equivalent Examination with not less than 50% marks in aggregate. OR Degree/Sanad from AMU recognized Institution/Madarsa with at least 50% marks in aggregate. OR Bridge Course  Senior Secondary School Certificate from AMU with 50% marks in aggregate.,
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Russian," English, General Test","Senior Secondary School Certificate or an equivalent examination with at least 50% marks in aggregate.
 OR Bridge Course-Senior Secondary School Certificate from AMU with 50% marks in aggregate.",
CU,ALIGARH MUSLIM UNIVERSITY,https://cuetug.ntaonline.in/universities/eligibility/MQ==,," B.A.",B.A. (Hons.) Chinese," English, General Test","Senior Secondary School Certificate or an equivalent examination with at least 50% marks in aggregate.
 OR Bridge Course-Senior Secondary School Certificate from AMU with 50% marks in aggregate.",
